activation,allele,allele_size,embedding_input_dim,embedding_output_dim,fit_time,impute,imputed_size,layer_sizes,model_params,test_auc,test_f1,test_tau,train_auc,train_f1,train_size,train_tau,layer0_size
tanh,HLA-B0802,486,21,5,0.516063928604,True,9361.0,[4],"{'activation': 'tanh', 'embedding_output_dim': 5, 'embedding_input_dim': 21, 'layer_sizes': [4]}",0.958791208791,0.545454545455,0.365852442186,0.994640943194,0.666666666667,323,0.423318992018,4
tanh,HLA-B0802,486,21,5,0.524808883667,True,9361.0,[8],"{'activation': 'tanh', 'embedding_output_dim': 5, 'embedding_input_dim': 21, 'layer_sizes': [8]}",0.966117216117,0.0,0.381374548762,0.996248660236,0.761904761905,323,0.400697334685,8
tanh,HLA-B0802,486,21,5,0.586463928223,True,9361.0,[16],"{'activation': 'tanh', 'embedding_output_dim': 5, 'embedding_input_dim': 21, 'layer_sizes': [16]}",0.977106227106,0.727272727273,0.328310603028,0.99973204716,0.909090909091,323,0.416132328317,16
tanh,HLA-B0802,486,21,5,0.835090875626,True,9361.0,[64],"{'activation': 'tanh', 'embedding_output_dim': 5, 'embedding_input_dim': 21, 'layer_sizes': [64]}",0.946886446886,0.25,0.361159712291,0.995712754555,0.8,323,0.400370668153,64
tanh,HLA-B0802,486,21,5,1.17864108086,True,9361.0,[128],"{'activation': 'tanh', 'embedding_output_dim': 5, 'embedding_input_dim': 21, 'layer_sizes': [128]}",0.974358974359,0.444444444444,0.328310603028,0.998928188639,0.761904761905,323,0.413437329429,128
tanh,HLA-B0802,486,21,10,0.555257081985,True,9361.0,[4],"{'activation': 'tanh', 'embedding_output_dim': 10, 'embedding_input_dim': 21, 'layer_sizes': [4]}",0.966117216117,0.545454545455,0.316398288679,0.998124330118,0.869565217391,323,0.408945664615,4
tanh,HLA-B0802,486,21,10,0.656071901321,True,9361.0,[8],"{'activation': 'tanh', 'embedding_output_dim': 10, 'embedding_input_dim': 21, 'layer_sizes': [8]}",0.974358974359,0.727272727273,0.366213421409,0.998392282958,0.909090909091,323,0.399064002025,8
tanh,HLA-B0802,486,21,10,0.790235042572,True,9361.0,[16],"{'activation': 'tanh', 'embedding_output_dim': 10, 'embedding_input_dim': 21, 'layer_sizes': [16]}",0.949633699634,0.25,0.326505706914,1.0,0.909090909091,323,0.436140653395,16
tanh,HLA-B0802,486,21,10,1.05807304382,True,9361.0,[64],"{'activation': 'tanh', 'embedding_output_dim': 10, 'embedding_input_dim': 21, 'layer_sizes': [64]}",0.951465201465,0.4,0.298710306768,0.998392282958,0.909090909091,323,0.420950659662,64
tanh,HLA-B0802,486,21,10,1.36317706108,True,9361.0,[128],"{'activation': 'tanh', 'embedding_output_dim': 10, 'embedding_input_dim': 21, 'layer_sizes': [128]}",0.964285714286,0.5,0.310261641894,1.0,0.857142857143,323,0.411722330136,128
tanh,HLA-B0802,486,21,32,1.02237010002,True,9361.0,[4],"{'activation': 'tanh', 'embedding_output_dim': 32, 'embedding_input_dim': 21, 'layer_sizes': [4]}",0.966117216117,0.5,0.364408525296,0.998660235798,0.909090909091,323,0.400860667951,4
tanh,HLA-B0802,486,21,32,1.10201501846,True,9361.0,[8],"{'activation': 'tanh', 'embedding_output_dim': 32, 'embedding_input_dim': 21, 'layer_sizes': [8]}",0.928571428571,0.461538461538,0.310622621116,0.998928188639,0.95652173913,323,0.429198989592,8
