,activation,allele,allele_size,embedding_output_dim,fit_time,impute,imputed_size,layer_sizes,model_params,test_auc,test_f1,test_tau,train_auc,train_f1,train_size,train_tau,layer0_size
0,tanh,HLA-A0201,32876,5,18.8148980141,True,2668.0,[4],"{'activation': 'tanh', 'embedding_output_dim': 5, 'layer_sizes': [4]}",0.882535051725,0.652942080197,0.512248899313,0.909878569511,0.779289787455,21917,0.581493252394,4
1,tanh,HLA-A0201,32876,5,18.422413826,True,2668.0,[8],"{'activation': 'tanh', 'embedding_output_dim': 5, 'layer_sizes': [8]}",0.844316645697,0.664781144781,0.46370373849,0.917281308572,0.785569570616,21917,0.590248797881,8
2,tanh,HLA-A0201,32876,5,18.7464101315,True,2668.0,[16],"{'activation': 'tanh', 'embedding_output_dim': 5, 'layer_sizes': [16]}",0.824635471432,0.66941426252,0.439439095775,0.925319534481,0.797048942757,21917,0.611116875364,16
3,tanh,HLA-A0201,32876,5,18.7460510731,True,2668.0,[64],"{'activation': 'tanh', 'embedding_output_dim': 5, 'layer_sizes': [64]}",0.820137406818,0.626844694308,0.422169048855,0.952667767447,0.845677806006,21917,0.667204760239,64
4,tanh,HLA-A0201,32876,5,19.2150731087,True,2668.0,[128],"{'activation': 'tanh', 'embedding_output_dim': 5, 'layer_sizes': [128]}",0.693399663976,0.526288323549,0.259918533554,0.966649191255,0.862101987072,21917,0.707005204671,128
5,tanh,HLA-A0201,32876,10,18.77029109,True,2668.0,[4],"{'activation': 'tanh', 'embedding_output_dim': 10, 'layer_sizes': [4]}",0.866559935763,0.606159361251,0.494168548362,0.919191943556,0.785672189117,21917,0.599747693895,4
6,tanh,HLA-A0201,32876,10,18.7278470993,True,2668.0,[8],"{'activation': 'tanh', 'embedding_output_dim': 10, 'layer_sizes': [8]}",0.889240407209,0.669595515831,0.505695956121,0.931266557057,0.803410954411,21917,0.620675412693,8
7,tanh,HLA-A0201,32876,10,18.6918478012,True,2668.0,[16],"{'activation': 'tanh', 'embedding_output_dim': 10, 'layer_sizes': [16]}",0.854935340469,0.658172868105,0.476272066228,0.943112957276,0.827555668016,21917,0.646461520697,16
8,tanh,HLA-A0201,32876,10,19.0808970928,True,2668.0,[64],"{'activation': 'tanh', 'embedding_output_dim': 10, 'layer_sizes': [64]}",0.812360981481,0.596709006928,0.413657334906,0.974346843781,0.879791734461,21917,0.737186185541,64
9,tanh,HLA-A0201,32876,10,20.4470500946,True,2668.0,[128],"{'activation': 'tanh', 'embedding_output_dim': 10, 'layer_sizes': [128]}",0.803812207824,0.630199277785,0.399455549342,0.984678431263,0.902920284136,21917,0.787975428127,128
